sample,label
0.jpeg,99
1.jpeg,91
2.jpeg,66
3.jpeg,71
4.jpeg,47
5.jpeg,27
6.jpeg,19
7.jpeg,17
8.jpeg,18
9.jpeg,35
10.jpeg,5
11.jpeg,52
12.jpeg,78
13.jpeg,54
14.jpeg,28
15.jpeg,59
16.jpeg,80
17.jpeg,50
18.jpeg,32
19.jpeg,46
20.jpeg,55
21.jpeg,14
22.jpeg,31
23.jpeg,31
24.jpeg,79
25.jpeg,71
26.jpeg,57
27.jpeg,48
28.jpeg,82
29.jpeg,89
30.jpeg,55
31.jpeg,81
32.jpeg,81
33.jpeg,62
34.jpeg,47
35.jpeg,96
36.jpeg,83
37.jpeg,63
38.jpeg,58
39.jpeg,26
40.jpeg,18
41.jpeg,40
42.jpeg,5
43.jpeg,25
44.jpeg,79
45.jpeg,38
46.jpeg,34
47.jpeg,49
48.jpeg,4
49.jpeg,75
50.jpeg,40
51.jpeg,93
52.jpeg,46
53.jpeg,44
54.jpeg,18
55.jpeg,22
56.jpeg,90
57.jpeg,10
58.jpeg,66
59.jpeg,99
60.jpeg,73
61.jpeg,51
62.jpeg,30
63.jpeg,75
64.jpeg,77
65.jpeg,15
66.jpeg,73
67.jpeg,54
68.jpeg,63
69.jpeg,74
70.jpeg,81
71.jpeg,59
72.jpeg,49
73.jpeg,70
74.jpeg,61
75.jpeg,70
76.jpeg,79
77.jpeg,83
78.jpeg,3
79.jpeg,1
80.jpeg,88
81.jpeg,34
82.jpeg,83
83.jpeg,17
84.jpeg,65
85.jpeg,27
86.jpeg,31
87.jpeg,9
88.jpeg,33
89.jpeg,83
90.jpeg,21
91.jpeg,0
92.jpeg,17
93.jpeg,92
94.jpeg,86
95.jpeg,26
96.jpeg,18
97.jpeg,96
98.jpeg,5
99.jpeg,86
100.jpeg,55
101.jpeg,59
102.jpeg,90
103.jpeg,55
104.jpeg,58
105.jpeg,55
106.jpeg,23
107.jpeg,5
108.jpeg,63
109.jpeg,9
110.jpeg,1
111.jpeg,60
112.jpeg,57
113.jpeg,88
114.jpeg,9
115.jpeg,34
116.jpeg,48
117.jpeg,91
118.jpeg,33
119.jpeg,80
120.jpeg,24
121.jpeg,47
122.jpeg,20
123.jpeg,0
124.jpeg,99
125.jpeg,73
126.jpeg,6
127.jpeg,47
128.jpeg,37
129.jpeg,69
130.jpeg,88
131.jpeg,55
132.jpeg,43
133.jpeg,5
134.jpeg,16
135.jpeg,21
136.jpeg,71
137.jpeg,82
138.jpeg,57
139.jpeg,80
140.jpeg,55
141.jpeg,97
142.jpeg,21
143.jpeg,2
144.jpeg,40
145.jpeg,81
146.jpeg,10
147.jpeg,6
148.jpeg,4
149.jpeg,32
150.jpeg,72
151.jpeg,64
152.jpeg,33
153.jpeg,64
154.jpeg,53
155.jpeg,39
156.jpeg,55
157.jpeg,89
158.jpeg,17
159.jpeg,30
160.jpeg,85
161.jpeg,97
162.jpeg,35
163.jpeg,49
164.jpeg,64
165.jpeg,87
166.jpeg,60
167.jpeg,42
168.jpeg,43
169.jpeg,40
170.jpeg,26
171.jpeg,80
172.jpeg,57
173.jpeg,74
174.jpeg,26
175.jpeg,58
176.jpeg,1
177.jpeg,15
178.jpeg,16
179.jpeg,47
180.jpeg,39
181.jpeg,19
182.jpeg,26
183.jpeg,87
184.jpeg,0
185.jpeg,0
186.jpeg,53
187.jpeg,68
188.jpeg,13
189.jpeg,36
190.jpeg,4
191.jpeg,5
192.jpeg,24
193.jpeg,24
194.jpeg,26
195.jpeg,11
196.jpeg,64
197.jpeg,64
198.jpeg,99
199.jpeg,68
200.jpeg,79
201.jpeg,12
202.jpeg,30
203.jpeg,7
204.jpeg,75
205.jpeg,10
206.jpeg,82
207.jpeg,5
208.jpeg,73
209.jpeg,95
210.jpeg,61
211.jpeg,97
212.jpeg,35
213.jpeg,47
214.jpeg,64
215.jpeg,47
216.jpeg,5
217.jpeg,35
218.jpeg,74
219.jpeg,97
220.jpeg,46
221.jpeg,33
222.jpeg,70
223.jpeg,46
224.jpeg,43
225.jpeg,36
226.jpeg,10
227.jpeg,46
228.jpeg,24
229.jpeg,76
230.jpeg,24
231.jpeg,87
232.jpeg,79
233.jpeg,36
234.jpeg,11
235.jpeg,74
236.jpeg,56
237.jpeg,22
238.jpeg,23
239.jpeg,68
240.jpeg,89
241.jpeg,11
242.jpeg,46
243.jpeg,6
244.jpeg,83
245.jpeg,66
246.jpeg,0
247.jpeg,96
248.jpeg,38
249.jpeg,18
250.jpeg,13
251.jpeg,92
252.jpeg,37
253.jpeg,86
